T12 fixation
1.018001:503,565;
1.033416:509,562;
1.05081:516,549;
1.066484:521,545;
1.082931:521,545;
1.099787:520,551;
1.116973:510,561;
1.134139:510,561;
1.150077:498,563;
1.168587:502,564;
1.184483:479,576;
1.201515:479,576;
1.218655:470,584;
1.234545:454,610;
1.251656:455,609;
1.268472:439,630;
1.284132:423,646;
1.300067:419,651;
1.318464:413,658;
1.335184:412,663;
1.352313:412,663;
1.36801:403,680;
1.383434:403,681;
1.400033:398,684;
1.416993:397,686;
1.433863:396,687;
1.450032:394,687;
1.466904:393,687;
1.483356:393,686;
1.501676:393,686;
1.517932:399,674;
1.536029:403,670;
1.552511:411,659;
1.56788:416,652;
1.58345:426,642;
1.60042:429,634;
1.618226:428,635;
1.633406:438,620;
1.650083:438,620;
1.667042:442,613;
1.683575:450,607;
1.700241:461,595;
1.716558:509,541;
1.734236:513,537;
1.750039:512,538;
1.767039:512,538;
1.78343:512,538;
1.80018:512,538;
1.817985:546,553;
1.835666:541,548;
1.852471:529,558;
1.868626:528,557;
1.884274:518,566;
1.901744:497,579;
1.916858:491,590;
1.93371:482,595;
1.951056:482,595;
1.967036:472,608;
1.98477:443,640;
2.000916:432,650;
2.016595:422,660;
2.033968:402,671;
2.050783:405,673;
2.068311:407,676;
2.085029:414,674;
2.10271:414,674;
2.119077:419,666;
2.13557:419,653;
2.150966:422,647;
2.16693:425,642;
2.185185:426,637;
2.199987:426,635;
2.218956:429,632;
2.235219:430,629;
2.251567:430,629;
2.269142:466,589;
2.284914:453,596;
2.300104:453,596;
2.318197:453,596;
2.334237:469,598;
2.349994:475,596;
2.366768:475,596;
2.384775:484,592;
2.403197:484,592;
2.420081:488,592;
2.436034:473,616;
2.452833:473,616;
2.468487:461,635;
2.483426:442,651;
2.499899:433,661;
2.517075:428,668;
2.533841:423,674;
2.54991:414,686;
2.567536:403,691;
2.583298:398,700;
2.600853:399,700;
2.616722:398,703;
2.633375:382,737;
2.651257:379,744;
2.667723:368,728;
2.683395:363,728;
2.701801:363,728;
2.720095:404,679;
2.739266:410,674;
2.752036:418,664;
2.768706:431,629;
2.785931:429,636;
2.800745:435,639;
2.817662:436,634;
2.834046:437,629;
2.851563:437,629;
2.867209:448,605;
2.885202:458,589;
2.900678:462,581;
2.91827:470,568;
2.933975:467,573;
2.951359:465,580;
2.967192:465,584;
2.983518:465,584;
3.000326:465,584;
3.018701:464,574;
3.034963:464,574;
3.052416:472,581;
3.069774:459,605;
3.085476:452,617;
3.102232:446,630;
3.119014:441,639;
3.135133:438,642;
3.151631:438,642;
3.167063:428,657;
3.18377:414,672;
3.200002:412,677;
3.216719:390,698;
3.233439:389,698;
3.250421:394,689;
3.266722:395,685;
3.283541:402,675;
3.300145:415,657;
3.316345:418,658;
3.334782:418,658;
3.351702:418,658;
3.367121:418,662;
3.385042:418,662;
3.401946:418,662;
3.419028:429,656;
3.435165:429,658;
3.452006:454,604;
3.466831:454,604;
3.483427:466,580;
3.500101:471,576;
3.518542:480,572;
3.534976:482,567;
3.549997:490,554;
3.567702:492,550;
3.583887:491,551;
3.600093:491,551;
3.617664:491,551;
3.633002:498,544;
3.650191:498,544;
3.668165:497,563;
3.685044:497,561;
3.702149:495,574;
3.719122:493,582;
3.734888:488,597;
3.751008:488,597;
3.766903:471,618;
3.784978:471,618;
3.800144:452,639;
3.816833:448,643;
3.834463:402,680;
3.849967:404,684;
3.867417:406,685;
3.884683:407,687;
3.900473:404,689;
3.916674:404,689;
3.933347:396,683;
3.951579:394,680;
3.967154:394,680;
3.98448:394,680;
4.002294:389,680;
4.019043:400,680;
4.035208:400,680;
4.052323:400,680;
4.069435:411,674;
4.086166:414,665;
4.100758:463,611;
4.118229:465,604;
4.134315:476,591;
4.150622:480,585;
4.168556:482,582;
4.185259:489,567;
4.201921:489,567;
4.218709:527,543;
4.236022:527,543;
4.252138:519,543;
4.268837:525,541;
4.284823:525,541;
4.302195:521,552;
4.319:525,556;
4.335249:523,567;
4.352247:523,567;
4.369948:493,588;
4.386037:493,588;
4.402941:499,586;
4.416704:489,591;
4.433436:489,592;
4.450223:484,597;
4.466878:477,602;
4.483181:465,615;
4.500314:465,615;
4.518849:430,652;
4.534805:422,662;
4.550295:418,663;
4.566885:417,666;
4.583546:417,667;
4.600166:414,666;
4.616758:414,666;
4.634028:413,668;
4.655585:413,668;
4.669043:421,668;
4.685859:421,667;
4.703025:415,650;
4.719038:412,642;
4.735348:415,628;
4.752109:419,624;
4.768668:428,617;
4.785274:437,608;
4.802074:445,600;
4.818377:450,592;
4.835455:459,578;
4.852093:470,561;
4.868456:481,550;
4.883254:483,549;
4.900076:486,549;
4.91686:488,553;
4.934678:486,559;
4.951231:486,559;
4.969334:479,579;
4.984906:468,588;
5.002058:464,592;
5.019024:461,596;
5.035949:452,601;
5.05185:447,605;
5.068737:445,605;
5.085138:439,610;
5.101984:439,610;
5.118153:432,614;
5.133296:423,624;
5.150722:422,624;
5.166839:421,626;
5.184839:418,630;
5.201302:419,633;
5.218859:422,634;
5.234805:420,636;
5.253125:420,637;
5.269972:423,637;
5.286879:425,624;
5.302925:429,618;
5.318916:435,610;
5.334962:436,609;
5.351785:441,607;
5.368724:445,603;
5.384619:451,593;
5.402194:451,593;
5.41929:457,587;
5.437021:459,585;
5.452455:462,583;
5.469115:463,583;
5.485216:463,583;
5.502176:470,582;
5.518409:467,582;
5.534739:469,580;
5.550524:477,585;
5.568706:477,586;
5.586196:469,597;
5.601851:470,596;
5.619116:470,595;
5.635256:461,600;
5.65161:456,608;
5.668492:451,612;
5.683782:448,616;
5.702409:443,622;
5.718696:443,622;
5.73627:439,630;
5.752437:425,639;
5.769066:425,640;
5.785975:427,636;
5.80212:430,631;
5.818878:431,631;
5.835883:432,629;
5.852029:432,629;
5.872302:438,615;
5.886013:444,602;
5.902887:448,595;
5.91857:451,588;
5.934192:451,589;
5.95095:461,581;
5.967678:469,574;
5.984851:471,569;
6.002582:471,569;
6.019901:475,562;
T11 fixation
7.66847:-19,646;
7.684066:-36,670;
7.700103:-36,670;
7.716877:-36,670;
7.733434:-36,670;
7.750202:-36,670;
7.767043:-36,670;
7.784237:-36,670;
7.799707:-36,670;
7.8168:-36,670;
