T1 fixation
1.15157:28,1007;
1.167054:39,993;
1.183408:51,967;
1.20035:56,955;
1.216628:41,972;
1.233596:47,960;
1.250408:46,961;
1.266914:39,979;
1.285277:39,979;
1.300482:28,1004;
1.31724:34,984;
1.33359:35,980;
1.350262:22,1013;
1.366757:41,976;
1.38403:35,1001;
1.400235:33,1006;
1.416979:40,992;
1.433638:40,992;
1.45049:45,985;
1.466748:45,985;
1.482984:38,995;
1.500354:52,967;
1.517046:43,974;
1.533401:44,972;
1.550264:58,955;
1.566974:58,956;
1.583792:58,956;
1.60133:63,944;
1.616741:67,943;
1.633584:63,959;
1.650564:53,974;
1.66685:43,988;
1.683526:58,964;
1.700497:57,963;
1.716823:38,965;
1.733465:38,965;
1.75059:33,964;
1.767085:31,970;
1.783839:35,971;
1.800336:34,982;
1.816694:47,968;
1.833666:47,974;
1.850413:43,976;
1.867007:49,967;
1.883809:49,967;
1.900462:47,969;
1.916818:50,960;
1.933407:40,963;
1.95077:39,941;
1.966916:40,933;
1.983592:36,945;
2.000289:33,970;
2.017016:25,992;
2.03361:25,992;
2.051188:28,972;
2.066801:25,979;
2.083344:30,970;
2.100499:33,971;
2.116593:39,981;
2.133918:32,981;
2.150249:40,968;
2.166955:41,966;
2.183653:41,966;
2.200521:47,983;
2.216475:55,964;
2.233046:56,961;
2.250293:54,970;
2.266879:57,959;
2.283638:58,956;
2.300282:55,962;
2.31704:38,976;
2.333568:38,976;
2.350312:30,987;
2.366452:41,979;
2.383079:54,972;
2.400194:54,952;
2.416954:57,951;
2.43353:57,953;
2.450328:54,964;
2.466854:55,973;
2.483572:55,973;
2.500407:54,976;
2.516708:48,979;
2.533274:46,977;
2.550416:47,975;
2.566902:63,974;
2.583564:64,971;
2.600152:66,971;
2.616853:67,969;
2.633749:67,969;
2.650239:66,971;
2.666896:64,975;
2.683398:62,989;
2.700152:57,983;
2.716686:50,984;
2.734025:52,977;
2.750388:52,972;
2.766948:56,964;
2.783529:56,964;
2.800319:52,967;
2.81658:57,962;
2.833063:54,969;
2.850699:44,986;
2.866853:45,985;
2.883548:47,980;
2.900136:46,982;
2.916858:58,976;
2.933561:58,976;
2.950664:89,976;
2.967205:91,975;
2.983062:72,965;
3.000213:65,967;
3.016789:66,971;
3.033626:70,951;
3.050422:69,950;
3.066959:67,956;
3.083739:67,956;
3.100306:64,964;
3.11694:58,960;
3.133715:59,964;
3.15222:60,971;
