T1 fixation
8.568001:-178,782;
8.585829:-178,782;
8.602373:-178,782;
8.618752:-178,782;
8.633245:-178,782;
8.65107:-178,782;
8.666346:-178,782;
8.683158:-178,782;
8.699682:-178,782;
8.716033:-178,782;
8.732949:-178,782;
8.749571:-178,782;
8.767831:-178,782;
8.783411:-178,782;
8.799998:-178,782;
8.81674:-178,782;
8.834908:-178,782;
8.849977:-178,782;
8.86728:-178,782;
8.885462:-178,782;
8.902824:-1,529;
8.918344:-1,529;
8.935057:123,498;
8.951097:100,503;
8.967914:100,503;
8.983311:84,507;
9.000669:84,507;
9.016173:51,529;
9.035281:51,529;
9.05273:51,529;
9.068592:51,529;
9.085667:51,529;
9.102221:51,529;
9.117929:51,529;
9.133965:51,529;
9.149755:51,529;
9.166154:51,529;
9.183145:51,529;
9.199701:-176,760;
9.216469:-89,712;
9.233207:-89,712;
9.249834:-104,708;
9.266535:-112,706;
9.284369:-112,706;
9.301512:-105,709;
9.316483:-105,709;
9.333277:-108,714;
9.349589:-121,730;
9.367763:-121,730;
9.383518:-113,716;
9.400564:-108,710;
9.418106:-108,710;
9.434859:17,625;
9.451645:17,625;
9.46883:17,625;
9.4849:3,619;
9.502183:3,619;
9.518161:3,619;
9.534583:22,545;
9.551157:22,545;
9.568142:22,545;
9.584999:22,545;
9.60063:22,545;
9.617824:117,464;
9.634171:117,464;
9.651586:117,464;
9.667377:117,464;
9.683607:117,464;
9.699815:117,464;
9.717031:117,464;
9.734095:117,464;
9.750932:77,431;
9.768383:77,431;
9.785107:77,431;
9.801932:242,404;
9.818471:242,404;
9.834607:220,411;
9.849712:215,419;
9.866668:215,419;
9.884459:197,442;
9.901141:197,442;
9.919017:197,442;
9.936654:197,442;
9.952044:197,442;
9.969604:197,442;
9.985721:197,442;
10.00148:197,442;
10.01706:164,353;
10.03431:164,353;
10.04968:164,353;
10.0663:101,483;
10.08384:101,483;
10.09954:101,483;
10.11681:95,493;
10.13331:95,493;
10.15188:95,493;
10.16826:0,634;
10.18335:0,634;
10.20147:-69,683;
10.21752:-69,683;
10.23547:-92,697;
10.25166:-130,724;
10.26802:-130,724;
10.28492:-170,748;
10.29995:-158,762;
10.31765:-158,762;
10.33307:-158,762;
10.35207:-158,762;
10.368:-158,762;
10.38671:-158,762;
10.40294:-158,762;
10.419:-158,762;
10.43587:-158,762;
10.45193:-158,762;
10.46779:-158,762;
10.48517:-158,762;
10.50215:-158,762;
10.51674:-158,762;
10.53304:-158,762;
10.54976:-158,762;
10.56704:-158,762;
10.58319:-158,762;
10.60024:-158,762;
10.61642:-158,762;
10.63315:-158,762;
10.64967:-158,762;
10.66622:-158,762;
10.68479:170,572;
10.69994:89,542;
10.71653:89,542;
10.73332:109,508;
10.74976:106,498;
10.76681:106,498;
10.78329:109,500;
10.79971:109,500;
10.81802:109,500;
10.83505:109,500;
10.85208:109,500;
10.86902:109,500;
10.88576:109,500;
10.90197:109,500;
10.9182:109,500;
10.9348:109,500;
10.94984:109,500;
10.96653:109,500;
10.98321:109,500;
11.0002:109,500;
11.01651:109,500;
11.03509:109,500;
11.05257:31,636;
11.06799:40,628;
11.08554:40,628;
11.10142:40,628;
11.11676:39,639;
11.13327:40,634;
11.14989:-61,635;
11.16892:-61,635;
11.18484:-91,686;
11.20172:-93,696;
11.21855:-93,696;
11.23319:-59,673;
11.24981:-59,673;
11.26671:-13,634;
11.28297:-13,634;
11.29955:-13,634;
11.31888:-13,634;
11.33511:-13,634;
11.35222:-13,634;
11.36874:-13,634;
11.38529:-13,634;
11.40231:-13,634;
11.41836:-13,634;
11.43545:-13,634;
11.45086:-13,634;
11.46724:-13,634;
11.48474:-13,634;
11.50227:-13,634;
11.51905:-13,634;
11.53503:-13,634;
11.5511:-13,634;
11.56645:-13,634;
11.58329:-13,634;
11.59993:-13,634;
11.61657:-13,634;
11.63344:540,286;
11.64977:376,289;
11.66649:378,285;
11.68331:383,283;
11.69957:496,269;
11.71646:491,269;
11.73379:458,275;
11.74976:448,276;
11.7686:431,281;
11.78602:431,281;
11.80298:393,317;
11.81868:393,317;
11.83522:393,317;
11.85069:393,317;
11.86673:393,317;
11.8836:469,330;
11.89964:469,330;
11.91636:469,330;
11.93313:429,324;
11.95015:429,324;
11.96752:379,366;
11.98505:379,366;
12.00245:379,366;
12.01895:304,383;
12.03528:308,383;
12.05141:307,383;
12.06767:316,387;
12.08347:313,400;
12.09972:249,446;
12.11651:181,491;
12.13498:140,517;
12.15001:120,527;
12.1681:108,533;
12.18324:107,530;
12.20007:116,530;
12.21892:116,530;
12.23553:116,530;
12.25205:28,582;
12.26999:28,582;
12.28581:28,582;
12.30111:28,582;
12.318:28,582;
12.33493:28,582;
12.35134:28,582;
12.36823:28,582;
12.38494:28,582;
12.40283:28,582;
12.41869:28,582;
12.43507:28,582;
12.45132:28,582;
12.46722:28,582;
12.48366:28,582;
12.50006:28,582;
12.51728:28,582;
12.53323:28,582;
12.55023:28,582;
12.56799:28,582;
12.58399:28,582;
12.6021:28,582;
12.61802:28,582;
12.63563:250,382;
12.65135:265,393;
12.66822:296,409;
12.68492:294,404;
12.70113:280,413;
12.71877:280,413;
12.73533:280,413;
12.75171:280,413;
12.77293:280,413;
12.78662:280,413;
12.80289:280,413;
12.81863:280,413;
12.83537:280,413;
12.85119:280,413;
12.86663:280,413;
12.88312:280,413;
12.89937:280,413;
12.91633:280,413;
12.93291:183,516;
12.95192:130,528;
12.96857:126,528;
12.98581:106,535;
13.00169:104,536;
13.01871:107,539;
13.03506:104,540;
13.05201:104,540;
13.06818:88,544;
13.08467:78,558;
13.09959:62,561;
13.1171:51,562;
13.13482:51,562;
13.15189:51,562;
13.16908:51,562;
13.18572:51,562;
13.20179:51,562;
13.21906:51,562;
13.23902:51,562;
13.25175:51,562;
13.26753:51,562;
13.28479:51,562;
13.3005:51,562;
13.31669:51,562;
13.33309:51,562;
13.35141:51,562;
13.36819:51,562;
13.38508:51,562;
13.40055:182,450;
13.4167:192,444;
13.43453:191,432;
13.45109:191,432;
13.46837:207,423;
13.48489:242,419;
13.5022:242,419;
T15 fixation
16.03555:1815,587;
16.05179:1815,587;
16.06884:1815,587;
16.08565:1774,476;
16.10192:1751,478;
16.11777:1751,478;
16.13332:1751,478;
16.14979:1751,478;
16.1662:1751,478;
16.18312:1751,478;
16.20159:1745,474;
16.21867:1745,474;
16.23614:1740,450;
16.25172:1758,464;
16.268:1768,471;
16.2836:1796,487;
16.29977:1819,495;
16.31648:1825,501;
16.3337:1849,514;
16.35106:1844,520;
16.36897:1865,524;
16.38617:1873,560;
16.40275:1873,560;
16.41863:1873,560;
16.43492:1873,560;
16.45135:1868,571;
16.46787:1868,571;
16.48318:1868,571;
16.50081:1938,686;
16.51876:1938,686;
16.53512:1937,670;
16.55227:1957,642;
16.56872:1962,634;
16.58424:1963,634;
16.60149:1965,638;
16.61818:1985,654;
16.6345:1990,655;
16.65132:1990,655;
16.66656:1983,646;
16.68436:1974,635;
16.70013:1924,616;
16.71651:1929,615;
16.73412:1916,604;
16.74997:1921,608;
16.76669:1898,591;
16.7835:1878,580;
16.80015:1857,567;
16.81819:1853,571;
16.8355:1850,568;
16.85276:1851,567;
16.87158:1851,567;
16.88545:1851,567;
16.90433:1851,567;
16.9191:1851,567;
16.93592:1954,585;
16.95272:1954,585;
16.96998:1850,532;
16.9867:1825,527;
17.00256:1825,527;
17.01814:1818,519;
17.03326:1811,515;
17.05109:1768,490;
17.06711:1752,483;
17.08326:1746,478;
17.10018:1734,468;
17.1163:1749,463;
17.13346:1746,460;
17.14988:1751,457;
17.16653:1766,459;
17.18335:1709,431;
17.19987:1710,432;
17.21661:1709,435;
17.23333:1712,440;
17.24932:1699,439;
17.26612:1710,442;
17.28552:1800,489;
17.30193:1800,489;
17.3187:1800,489;
17.33559:1825,501;
17.35266:1825,501;
17.36971:1882,553;
17.38474:1882,553;
17.40154:1882,553;
17.41895:1882,553;
17.43505:1882,553;
17.4507:1882,553;
17.46663:1882,553;
17.48327:2008,655;
17.50003:1976,675;
17.518:1997,665;
17.5354:1987,672;
17.55229:1987,672;
17.56886:1990,670;
17.58576:2006,672;
17.60115:2023,674;
17.61741:2051,686;
17.6333:2071,699;
17.65027:2069,691;
17.66655:2021,655;
17.68296:1948,604;
17.70107:1894,561;
17.71803:1894,561;
17.73656:1885,553;
17.75208:1884,546;
17.76901:1884,546;
17.78575:1884,546;
17.80162:1884,546;
17.81793:1884,546;
17.83452:1884,546;
17.85156:1884,546;
17.86821:1884,546;
17.88594:1884,546;
17.90191:1884,546;
17.91858:1884,546;
17.93532:1884,546;
17.95102:1884,546;
17.96712:1884,546;
17.98411:1884,546;
17.99955:1884,546;
18.01626:1884,546;
18.03324:1884,546;
18.04974:1884,546;
18.06655:1884,546;
18.08335:1884,546;
18.10119:1884,546;
18.11656:1884,546;
18.13308:1884,546;
18.15006:1719,406;
18.16619:1680,404;
