T12 fixation
1.068233:576,421;
1.083099:590,369;
1.100182:601,352;
1.116635:605,342;
1.133412:605,342;
1.150127:624,329;
1.167655:625,327;
1.183577:627,328;
1.204114:645,306;
1.217728:645,306;
1.235296:663,285;
1.250199:699,268;
1.267084:616,275;
1.28399:616,275;
1.300303:604,284;
1.316777:604,284;
1.333618:604,284;
1.350382:604,284;
1.366526:604,284;
1.383064:604,284;
1.39962:604,284;
1.416968:604,284;
1.433502:604,284;
1.450345:604,284;
1.466887:604,284;
1.484541:604,284;
1.500731:604,284;
1.516869:604,284;
1.533973:604,284;
1.551993:604,284;
1.568433:604,284;
1.58369:604,284;
1.600255:604,284;
1.617807:604,284;
1.633725:604,284;
1.649999:604,284;
1.668867:365,601;
1.684801:418,681;
1.7017:411,654;
1.720827:444,588;
1.735845:448,551;
1.753099:448,551;
1.768833:445,601;
1.785414:445,601;
1.801094:445,601;
1.816627:445,601;
1.833202:445,601;
1.850683:445,601;
1.8687:445,601;
1.885648:445,601;
1.902196:445,601;
1.917269:445,601;
1.934536:445,601;
1.951569:445,601;
1.96846:445,601;
1.985521:445,601;
2.000091:445,601;
2.016745:445,601;
2.033605:445,601;
2.050146:445,601;
2.067069:445,601;
2.084213:445,601;
2.100106:445,601;
2.116884:445,601;
2.134256:445,601;
2.151024:445,601;
2.169526:445,601;
2.186246:445,601;
2.203113:445,601;
2.220328:445,601;
2.236246:445,601;
2.253231:445,601;
2.269458:445,601;
2.285471:445,601;
2.302634:459,548;
2.317779:448,537;
2.333659:448,537;
2.350166:431,546;
2.366823:422,552;
2.383771:422,552;
2.400473:422,552;
2.418391:422,552;
2.433326:415,553;
2.450099:415,553;
2.468626:410,547;
2.483956:411,546;
2.500245:394,614;
2.517632:405,582;
2.534422:405,582;
2.550283:405,582;
2.568154:405,582;
2.583233:405,582;
2.601842:405,582;
2.618333:405,582;
2.6361:405,582;
2.65245:405,582;
2.669195:405,582;
2.686064:405,582;
2.702442:405,582;
2.718388:405,582;
2.735497:405,582;
2.753007:405,582;
2.769597:405,582;
2.786179:405,582;
2.802285:405,582;
2.818225:405,582;
2.833733:405,582;
2.850265:405,582;
2.867701:558,359;
2.883126:558,359;
2.900059:558,359;
2.916883:567,351;
2.934946:567,351;
2.952303:567,351;
2.968867:567,351;
2.985359:567,351;
3.003034:567,351;
3.01846:567,351;
3.036246:567,351;
3.051579:567,351;
3.0693:567,351;
3.08598:567,351;
3.102387:567,351;
3.118302:567,351;
3.133492:567,351;
3.150485:567,351;
3.166956:567,351;
3.18355:397,524;
3.201849:391,551;
3.222396:398,623;
3.235488:393,616;
3.251618:386,583;
3.268215:386,583;
3.285167:383,569;
3.301422:383,569;
3.31806:377,592;
3.334018:377,592;
3.350589:379,617;
3.36679:349,628;
3.383205:349,628;
3.4001:349,628;
3.417949:349,628;
3.435115:349,628;
3.451447:349,628;
3.469297:349,628;
3.49001:318,708;
3.50245:318,708;
3.519514:318,708;
3.535435:318,708;
3.552449:318,708;
3.568974:318,708;
3.586067:318,708;
3.601746:318,708;
3.618251:614,377;
3.633055:489,336;
3.649904:500,340;
3.666579:500,340;
3.6836:587,374;
3.70178:587,374;
3.718977:587,374;
3.735517:587,374;
3.752362:587,374;
3.768665:587,374;
