T12 fixation
1.56797:452,587;
1.583402:450,593;
1.600212:449,594;
1.616434:447,595;
1.633922:447,621;
1.651821:443,619;
1.668623:441,616;
1.684041:436,615;
1.700131:439,612;
1.718234:436,609;
1.733506:436,609;
1.750248:437,610;
1.767993:437,610;
1.783393:441,614;
1.800208:443,612;
1.817055:452,598;
1.833581:468,562;
1.850136:471,556;
1.86807:470,551;
1.884344:468,554;
1.899978:469,546;
1.918777:469,546;
1.933952:487,512;
1.951538:487,511;
1.96824:501,503;
1.984356:505,500;
2.000741:505,498;
2.018236:505,497;
2.034673:506,498;
2.051274:508,500;
2.068304:508,500;
2.085178:507,502;
2.100955:508,510;
2.116833:505,522;
2.134247:503,527;
2.15149:502,528;
2.167961:499,530;
2.186111:490,524;
2.200357:490,528;
2.216806:490,528;
2.233292:487,525;
2.250169:487,525;
2.268318:487,525;
2.284898:492,533;
2.302008:492,533;
2.318118:492,533;
2.334818:488,554;
2.350237:488,554;
2.367909:488,554;
2.383353:485,545;
2.399945:487,541;
2.418396:487,548;
2.434932:486,552;
2.451947:475,577;
2.470271:475,579;
2.49028:477,574;
2.502302:476,583;
2.520039:476,583;
2.536617:476,594;
2.553003:477,592;
2.567528:470,590;
2.583548:465,593;
2.600041:464,594;
2.616851:462,595;
2.633987:463,597;
2.650228:458,603;
2.667667:460,609;
2.683326:471,603;
2.700185:471,603;
2.716909:471,603;
2.733703:479,595;
2.750291:479,593;
2.767561:479,593;
2.786725:468,593;
2.802641:468,593;
2.823316:468,593;
2.836538:468,593;
2.853544:468,593;
2.86978:468,593;
2.886513:468,593;
2.902045:468,593;
2.918844:468,593;
2.934652:468,593;
2.950171:468,593;
2.96674:468,593;
2.983805:473,540;
3.000084:469,546;
3.016649:470,545;
3.033402:468,549;
3.050035:466,555;
3.068235:466,558;
3.084051:465,559;
3.100073:467,561;
3.118115:469,563;
3.133508:473,564;
3.151956:491,580;
3.16858:498,590;
3.1857:499,586;
3.202242:481,565;
3.219606:482,571;
3.236842:488,573;
3.252637:487,573;
3.27431:517,546;
3.285523:516,547;
3.302704:507,554;
3.318662:501,559;
3.334656:489,573;
3.351428:457,600;
3.367081:448,612;
3.385341:421,632;
3.402385:418,641;
3.423751:411,650;
3.440526:413,669;
3.452729:407,674;
3.473244:382,703;
3.485826:380,706;
3.501719:372,714;
3.518975:373,713;
3.533458:378,695;
3.550137:387,667;
3.566945:387,667;
3.585871:394,656;
3.600195:406,643;
3.616736:399,647;
3.633563:399,651;
3.650213:399,651;
3.667383:400,656;
3.683278:400,656;
3.700248:400,656;
3.718515:397,658;
3.735344:397,658;
3.751941:397,660;
3.769106:399,661;
3.785598:411,706;
3.802309:407,678;
3.819776:418,636;
3.840083:416,629;
3.852423:416,629;
3.869706:440,606;
3.886466:448,611;
3.902487:455,596;
3.918637:463,576;
3.935406:466,568;
3.951813:471,553;
3.969269:480,528;
3.985817:486,510;
4.00265:487,506;
4.019607:487,506;
4.035196:485,501;
4.050322:490,498;
4.06775:490,498;
4.083533:489,498;
4.100502:489,498;
4.118017:496,504;
4.135458:500,505;
4.152384:500,505;
4.168883:520,497;
4.185839:520,497;
4.203001:520,497;
4.219682:524,495;
4.235515:510,518;
4.252672:507,523;
4.269831:501,509;
4.28671:493,516;
4.302622:500,527;
4.318367:500,527;
4.334295:498,522;
4.350161:493,518;
4.366849:490,541;
4.383477:493,539;
4.400064:483,547;
4.41689:467,553;
4.434046:467,553;
4.451458:464,554;
4.468481:462,573;
4.484515:464,566;
4.501184:447,595;
4.516808:442,601;
4.533791:439,609;
4.550249:441,608;
4.566816:459,582;
4.583673:468,572;
4.600204:468,572;
4.618888:468,572;
4.634077:479,559;
4.652375:479,559;
4.6694:488,544;
