T25 fixation
1.085702:1881,72;
1.099526:1876,64;
1.116488:1893,50;
1.133396:1886,60;
1.150018:1885,56;
1.166684:1855,40;
1.183513:1862,52;
1.199951:1868,60;
1.21857:1858,52;
1.233861:1874,66;
1.25025:1874,66;
1.266657:1875,76;
1.283477:1872,65;
1.299951:1871,57;
1.316629:1888,69;
1.333396:1884,61;
1.350019:1881,56;
1.367804:1895,67;
1.383321:1891,56;
1.399971:1889,70;
1.416855:1888,56;
1.433547:1887,70;
1.449893:1876,93;
1.467188:1875,83;
1.483493:1872,86;
1.499656:1879,77;
1.517472:1878,83;
1.533159:1878,83;
1.549691:1879,80;
1.56664:1878,55;
1.58322:1878,58;
1.600029:1879,55;
1.616524:1881,49;
1.63341:1879,65;
1.650311:1879,63;
1.66674:1879,60;
1.683524:1878,70;
1.701398:1878,70;
1.716579:1872,54;
1.733415:1871,44;
1.749628:1869,43;
1.766605:1881,62;
1.785517:1883,62;
1.802064:1862,15;
1.816754:1860,13;
1.835385:1855,20;
1.853808:1855,20;
1.869472:1854,25;
1.885395:1841,-9;
1.901659:1845,-7;
1.918367:1855,6;
1.935434:1855,5;
1.951745:1858,14;
1.97004:1849,16;
1.986152:1864,29;
2.001689:1844,25;
2.019516:1854,32;
2.035774:1860,46;
2.052595:1834,65;
2.06857:1838,67;
2.084478:1846,63;
2.10188:1868,33;
2.119788:1868,33;
2.135946:1868,32;
2.153011:1868,32;
2.169682:1869,-18;
2.185824:1890,27;
2.203652:1890,25;
2.218488:1895,36;
2.236676:1904,52;
2.251829:1899,53;
2.268743:1910,53;
2.286608:1895,67;
2.303468:1891,55;
2.318491:1894,55;
2.335725:1867,46;
2.352313:1865,49;
2.368531:1868,49;
2.385774:1869,49;
2.401732:1876,51;
2.419534:1882,57;
2.436549:1889,68;
2.456292:1878,86;
2.469479:1876,91;
2.485498:1901,127;
2.50167:1898,125;
2.518835:1890,122;
2.535832:1917,114;
2.55169:1932,113;
2.569146:1910,113;
2.589682:1865,104;
2.602438:1851,97;
2.618952:1838,111;
2.635803:1819,115;
2.652011:1837,118;
2.668845:1818,142;
2.685652:1873,129;
2.702878:1873,129;
2.71897:1873,129;
2.735612:1940,109;
2.751937:1909,209;
2.769015:1903,215;
2.78661:1908,229;
2.801719:1909,294;
2.81806:1897,264;
2.834891:1897,264;
2.852685:1889,368;
2.8699:1860,373;
2.886742:1718,407;
2.90128:1683,357;
2.918962:1683,357;
2.935709:1635,313;
2.952052:1635,313;
2.968913:1607,276;
2.985447:1547,276;
3.001384:1547,276;
3.018461:1472,295;
3.035066:1450,381;
3.052893:1450,381;
3.068904:1540,401;
3.08685:1540,401;
3.101897:1536,534;
3.118648:1536,534;
3.135771:1720,464;
3.152327:1823,236;
3.168658:1851,207;
3.185567:1851,207;
3.202812:1937,140;
3.219311:1944,209;
3.235501:2029,343;
3.252322:2069,596;
3.26812:2069,596;
3.285406:1995,708;
3.302798:1995,708;
3.320831:1973,795;
3.335817:1920,864;
3.351887:1799,522;
3.369832:1827,475;
3.385776:1804,381;
3.40165:1782,383;
3.418643:1775,417;
3.435867:1775,417;
3.451858:1765,382;
3.469928:1718,434;
3.485994:1718,434;
3.501864:1718,434;
3.517365:1718,434;
3.535569:1459,641;
3.551719:1459,641;
3.568753:1459,641;
3.585854:1439,636;
3.602766:1439,636;
3.618858:1819,306;
3.634893:1819,306;
3.651768:1819,306;
3.668883:1853,271;
3.685995:1835,279;
3.701865:1835,279;
3.718825:1835,279;
3.735826:1745,354;
3.752578:1774,384;
3.767904:1699,386;
3.785074:1699,386;
3.801738:1699,386;
3.819665:1606,360;
3.835803:1606,360;
3.851783:1606,360;
3.868944:1606,360;
3.886781:1513,648;
3.901879:1650,515;
3.918786:1820,397;
3.935763:1820,397;
3.956558:1820,397;
3.968873:1820,397;
3.985693:1964,276;
4.002427:1964,276;
4.018793:1964,276;
4.035428:2002,359;
4.05151:2005,381;
T25 fixation
4.070128:2002,408;
4.085878:2002,408;
4.102712:2023,420;
4.119989:2045,422;
4.135756:2045,422;
4.15254:2026,424;
4.168912:2026,424;
4.186769:1902,384;
4.20295:1856,356;
4.219805:1856,356;
4.235792:1856,356;
4.252808:1849,343;
4.26978:1845,348;
4.285825:1845,348;
4.302558:1845,348;
4.318237:1845,348;
4.335684:1845,348;
4.351846:1845,348;
4.368763:1845,348;
4.385849:1845,348;
4.402748:1845,348;
4.418789:1845,348;
4.435191:1845,348;
4.451355:1845,348;
4.468884:1845,348;
4.485815:1845,348;
4.503056:1845,348;
4.519728:1845,348;
4.535642:1845,348;
4.552761:1845,348;
4.568875:1845,348;
4.584213:1845,348;
4.601592:1845,348;
4.618881:1845,348;
4.635895:1845,348;
4.652052:1845,348;
4.668557:1845,348;
4.685797:1882,782;
4.702668:1882,782;
4.719989:2269,747;
4.735292:2269,747;
4.752534:2269,747;
4.768847:2269,747;
4.786525:2269,747;
4.802012:2269,747;
4.819988:2269,747;
4.83563:2269,747;
4.851275:2269,747;
4.868959:2269,747;
4.885959:2269,747;
4.902481:1820,596;
4.918709:1820,596;
4.935716:1837,361;
4.951884:1752,494;
4.968552:1797,427;
4.985522:1797,427;
5.002581:1828,630;
5.019803:1841,631;
5.035489:1829,651;
5.051809:1829,651;
5.069133:1865,686;
5.085742:1865,686;
5.102703:1865,686;
5.118416:1868,713;
5.135686:1868,713;
5.152888:1870,713;
5.169358:1732,370;
5.185879:1784,356;
5.202603:1821,364;
5.21881:1821,368;
5.235055:1782,394;
5.251727:1750,432;
5.270848:1618,661;
5.285571:1629,722;
5.304069:1634,634;
5.318883:1644,542;
5.335828:1652,509;
5.352445:1652,509;
5.368808:1652,509;
5.384558:1681,485;
5.401776:1879,424;
5.419683:1977,364;
5.436519:1977,364;
5.453008:1977,364;
5.469651:1868,667;
5.48632:1868,667;
5.50267:1868,667;
5.518628:1914,507;
5.535998:1912,415;
5.553591:1912,415;
5.570921:1937,437;
5.586908:1937,437;
5.603866:1924,478;
5.61963:1815,550;
5.635562:1773,436;
5.651825:1829,443;
5.669571:1781,359;
5.686695:1781,359;
5.70187:1763,408;
5.718768:1894,372;
5.735851:1875,381;
5.753266:1875,381;
5.768466:1875,381;
5.785819:1915,541;
5.802443:1810,759;
5.819086:1870,711;
5.83603:1884,715;
5.852624:1914,706;
5.86889:1843,874;
5.884437:1853,868;
5.902888:1853,868;
5.919631:1827,930;
5.935816:1888,755;
5.952673:1888,755;
5.968837:2092,465;
5.986838:2058,482;
6.002731:2036,502;
6.01909:1974,551;
6.036706:1959,533;
6.052897:1804,441;
6.06952:2018,413;
6.085749:2008,322;
6.106554:2008,307;
6.118501:2019,288;
6.134927:2012,194;
6.152377:1995,160;
6.169139:2008,168;
6.185872:2001,154;
6.2039:2014,154;
6.219526:2069,245;
6.235697:2067,303;
6.252908:2073,338;
6.268795:2073,338;
6.285951:2080,290;
6.30269:2085,282;
6.318879:2093,253;
6.335842:2093,253;
6.355899:2096,236;
6.369538:2114,240;
6.385849:2102,240;
