T12 fixation
2.066851:487,565;
2.081839:494,595;
2.098033:494,595;
2.115139:494,595;
2.131552:545,561;
2.147939:545,561;
2.165105:545,561;
2.182151:545,561;
2.201156:545,561;
2.215462:545,561;
2.231898:545,561;
2.249321:545,561;
2.266071:545,561;
2.28262:545,561;
2.29886:545,561;
2.314963:545,561;
2.331761:398,608;
2.347083:385,659;
2.365561:385,659;
2.3812:383,673;
2.398096:388,666;
2.414853:369,726;
2.431569:337,765;
2.448639:336,789;
2.465507:328,788;
2.482324:328,788;
2.499513:328,788;
2.517149:328,788;
2.533236:328,788;
2.549977:328,788;
2.567551:328,788;
2.58313:328,788;
2.599613:328,788;
2.614997:328,788;
2.630426:328,788;
2.648843:328,788;
2.665691:328,788;
2.682628:328,788;
2.698888:250,698;
2.716191:288,698;
2.731932:345,686;
2.747992:407,673;
2.765728:411,672;
2.780399:413,669;
2.798728:408,667;
2.816228:408,667;
2.832449:408,667;
2.85306:484,628;
2.867869:494,618;
2.882852:536,564;
2.89951:550,551;
2.915882:557,546;
2.932834:544,542;
2.950301:523,519;
2.963824:521,517;
2.982259:518,502;
2.999215:534,526;
3.016033:526,520;
3.031191:526,520;
3.048299:526,520;
3.065058:526,520;
3.081606:526,520;
3.098504:526,520;
3.114841:526,520;
3.133006:526,520;
3.149377:526,520;
3.168357:526,520;
3.182221:526,520;
3.198506:526,520;
3.216331:526,520;
3.232156:526,520;
3.251044:526,520;
3.266978:526,520;
3.286179:526,520;
3.302946:526,520;
3.315562:526,520;
3.33186:530,926;
3.348837:340,745;
3.365749:322,796;
3.383121:345,892;
3.402486:344,896;
3.416236:344,903;
3.433675:344,903;
3.450137:344,903;
3.466259:344,903;
3.482086:344,903;
3.499127:344,903;
3.516199:344,903;
3.531749:344,903;
3.549074:344,903;
3.565697:344,903;
3.581963:344,903;
3.599473:344,903;
3.615152:344,903;
3.630646:344,903;
3.648819:344,903;
3.66521:344,903;
3.681537:344,903;
3.698309:344,903;
3.7149:344,903;
3.730536:344,903;
3.748322:344,903;
3.764899:490,535;
3.781863:508,560;
3.799885:502,555;
3.816287:509,547;
3.833271:504,542;
3.853048:504,540;
3.869996:502,535;
3.88669:505,514;
3.90284:505,514;
3.919705:505,514;
3.933798:500,504;
3.952517:500,504;
3.965955:500,504;
3.981154:500,504;
3.998411:500,504;
4.013886:500,504;
4.031989:500,504;
4.05:500,504;
4.069382:500,504;
4.082983:500,504;
4.099098:500,504;
4.11871:500,504;
4.132874:500,504;
4.152841:500,504;
4.169947:500,504;
