T1 fixation
0.8182989:132,1004;
0.8343435:129,1007;
0.8507082:145,1021;
0.8670368:134,1025;
0.8831205:140,1031;
0.9004329:137,1033;
0.9168891:111,1052;
0.9336424:106,1064;
0.9514484:114,1062;
0.9676793:102,1044;
0.983568:97,1061;
0.9999356:94,1077;
1.016686:94,1077;
1.033318:96,1084;
1.050164:83,1085;
1.068256:71,1091;
1.083761:97,1102;
1.100819:66,1070;
1.117913:91,1083;
1.133694:94,1074;
1.150714:100,1068;
1.167117:100,1068;
1.183332:102,1081;
1.200272:105,1078;
1.217112:96,1077;
1.235074:96,1080;
1.25051:124,1076;
1.266739:120,1068;
1.28424:118,1046;
1.300649:129,1040;
1.317108:123,1028;
1.333666:135,1009;
1.351985:131,1011;
1.36738:150,1028;
1.384111:148,1027;
1.400493:117,1031;
1.417478:117,1031;
1.433729:114,1028;
1.450347:113,1028;
1.467094:113,1028;
1.483372:104,1023;
1.500292:130,1037;
1.516973:132,1048;
1.533878:122,1074;
1.550343:86,1070;
1.566969:106,1056;
1.583719:106,1050;
1.60059:106,1050;
1.616953:112,1045;
1.633479:112,1045;
1.650479:83,1056;
1.667006:82,1047;
1.684164:47,1071;
1.700377:61,1061;
1.717347:82,1063;
1.734435:73,1068;
1.750723:86,1076;
1.766846:80,1081;
1.784252:84,1089;
1.800057:93,1087;
1.816973:87,1093;
1.83378:91,1093;
1.850393:92,1092;
1.867038:81,1096;
1.883748:91,1088;
1.90039:82,1092;
1.917036:75,1093;
1.933248:102,1079;
1.951391:85,1086;
1.966918:114,1046;
1.983716:115,1003;
2.0003:81,1032;
2.017159:74,1040;
2.033896:76,1034;
2.050444:77,1037;
2.066926:86,1040;
2.083779:66,1039;
2.100429:75,1040;
2.117009:74,1064;
2.133831:53,1076;
2.150348:71,1072;
2.16723:68,1073;
2.184779:64,1076;
2.200632:109,1052;
2.217857:90,1062;
2.233536:103,1063;
2.250446:101,1068;
2.267032:94,1062;
2.284616:54,1044;
2.300354:58,1044;
2.316987:49,1040;
2.333864:61,1049;
2.350416:63,1054;
2.367189:34,1041;
2.385129:40,1047;
2.40027:40,1047;
2.417458:100,1068;
2.433735:126,1073;
2.450668:122,1074;
2.466966:107,1076;
2.483687:88,1083;
2.502585:48,1075;
2.517138:48,1075;
2.533444:41,1085;
2.550239:63,1080;
2.56703:48,1075;
2.583777:42,1080;
2.600345:59,1088;
2.617625:80,1115;
2.634696:54,1108;
2.650638:60,1078;
