T12 fixation
1.236714:569,366;
1.249112:573,374;
1.26599:529,469;
1.283355:529,469;
1.299858:529,469;
1.315826:433,599;
1.333964:433,599;
1.350035:433,599;
1.365246:433,599;
1.382656:433,599;
1.39917:433,599;
1.41608:370,731;
1.432465:370,731;
1.448941:370,731;
1.46637:370,731;
1.48224:568,733;
1.500083:531,735;
1.516467:507,781;
1.532991:410,781;
1.549208:415,786;
1.56625:406,815;
1.582959:406,815;
1.599752:398,824;
1.616157:377,829;
1.633104:343,844;
1.649423:330,843;
1.666844:316,837;
1.68304:318,823;
1.698494:330,804;
1.715303:336,787;
1.732708:336,787;
1.749483:336,787;
1.766303:369,728;
1.78316:369,728;
1.799574:369,728;
1.815212:418,641;
1.83278:418,641;
1.848784:430,584;
1.86572:416,583;
1.882601:416,583;
1.899056:458,567;
1.916353:447,538;
1.932091:450,531;
1.949821:447,522;
1.965219:440,486;
1.982989:441,482;
1.999116:444,478;
2.016009:452,469;
2.032361:452,469;
2.049903:458,466;
2.066561:501,463;
2.083274:522,444;
2.100159:531,440;
2.11625:538,429;
2.132298:535,427;
2.148581:532,435;
2.165699:527,446;
2.183339:527,446;
2.200027:522,456;
2.216252:520,462;
2.233238:521,462;
2.250256:500,470;
2.266014:459,481;
2.282865:459,481;
2.299798:459,481;
2.315551:449,483;
2.3336:449,483;
2.349136:449,483;
2.366332:449,483;
2.382688:413,477;
2.399998:413,477;
2.415223:369,596;
2.43248:385,635;
2.44861:365,624;
2.466244:377,631;
2.48374:377,631;
2.499915:374,637;
2.516097:359,664;
2.533247:332,727;
2.550015:334,729;
2.565999:345,721;
2.583401:331,747;
2.598844:317,756;
2.61565:299,755;
2.632461:299,755;
2.649348:353,676;
2.666267:401,632;
2.683116:418,614;
2.699446:486,587;
2.715248:484,584;
2.732002:484,584;
2.749611:484,584;
2.765594:484,584;
2.783386:484,584;
2.798895:417,586;
2.816244:417,586;
2.83306:417,586;
2.849794:585,520;
2.865601:585,520;
2.881974:585,520;
2.899288:585,520;
2.915309:585,520;
2.932903:585,520;
2.950077:585,520;
2.966684:412,424;
2.983445:484,401;
2.999664:566,401;
3.016192:544,394;
3.033858:570,389;
3.049954:579,386;
3.066208:588,375;
3.083037:588,375;
3.099375:596,370;
3.116203:596,370;
3.132832:585,371;
3.149841:582,376;
3.166061:583,383;
3.182911:583,383;
3.198936:575,398;
3.216599:575,398;
3.234509:575,398;
3.249402:575,398;
3.266343:575,398;
3.283053:428,332;
3.299798:456,378;
3.315593:463,407;
3.332359:463,407;
3.348596:447,412;
3.3662:439,442;
3.382792:439,442;
3.399216:420,507;
3.416234:410,521;
3.433672:402,529;
3.449757:395,551;
3.466624:405,590;
3.482638:403,630;
3.498826:402,635;
3.516076:394,646;
3.533674:394,646;
3.549304:397,648;
3.566106:388,671;
3.582775:380,686;
3.598971:367,702;
3.615586:360,710;
3.632233:360,710;
3.648988:355,720;
3.665722:355,720;
3.68285:355,720;
3.699482:355,720;
3.716249:318,639;
3.733025:318,639;
3.749272:301,643;
3.765802:369,699;
3.782485:424,736;
3.800534:424,736;
3.815746:424,736;
3.832873:424,736;
3.850313:509,720;
3.866415:490,717;
3.883279:502,580;
3.899411:507,512;
3.915678:519,506;
3.932672:519,506;
3.948998:590,495;
3.965588:590,495;
3.982777:590,495;
3.999701:590,495;
4.016037:590,495;
4.033039:590,495;
4.049181:580,485;
4.065278:586,447;
4.083321:589,446;
4.099249:555,435;
4.116327:555,435;
4.132349:555,435;
4.149697:507,423;
4.166564:507,423;
4.183029:543,407;
4.199768:543,407;
4.215474:490,453;
4.232079:490,453;
4.248716:490,453;
4.266391:490,453;
4.283076:490,453;
4.299846:490,453;
4.316134:490,453;
4.332925:490,453;
4.349807:490,453;
4.366498:490,453;
4.382226:490,453;
4.399215:490,453;
4.415673:490,453;
4.433055:490,453;
4.449815:490,453;
4.465931:490,453;
4.483365:490,453;
4.498546:490,453;
4.515584:490,453;
4.532135:490,453;
4.549359:490,453;
4.566072:490,453;
4.583159:490,453;
4.600087:490,453;
4.616141:490,453;
4.632994:358,497;
4.648499:244,732;
4.665436:244,732;
4.68265:244,732;
4.698936:244,732;
4.715906:244,732;
4.732838:244,732;
4.749203:244,732;
4.766171:423,587;
4.783019:467,545;
4.800017:494,577;
4.815107:509,561;
4.832827:517,559;
4.848878:524,568;
4.865565:555,551;
4.882417:555,551;
4.899966:542,573;
4.915934:549,526;
4.933051:550,513;
4.949088:565,486;
4.966573:567,497;
4.982191:576,495;
4.999323:581,492;
5.016902:590,488;
5.032786:590,488;
5.049362:590,488;
5.065488:593,474;
5.082769:591,476;
5.099433:601,454;
5.11513:460,653;
5.131895:460,653;
5.149136:460,653;
5.165568:436,526;
5.18241:436,526;
5.199379:436,526;
5.216159:436,526;
5.233795:436,526;
5.249281:436,526;
5.266209:436,526;
5.282703:436,526;
5.299603:436,526;
5.31622:436,526;
5.333062:436,526;
5.349484:436,526;
5.366144:436,526;
5.383243:436,526;
5.400336:436,526;
5.415396:436,526;
5.433657:436,526;
5.44903:436,526;
5.466209:436,526;
5.483081:436,526;
5.49965:436,526;
5.516266:69,939;
5.5332:403,464;
5.549092:302,606;
5.566301:302,606;
5.582156:328,607;
5.599862:367,578;
5.616166:367,578;
5.633548:367,578;
5.650298:488,435;
5.665802:464,455;
5.682929:483,455;
5.699603:486,472;
5.715321:507,547;
5.732451:507,547;
5.749221:507,547;
5.766355:507,547;
5.784145:507,547;
5.799454:405,481;
5.81621:405,481;
5.833229:405,481;
5.850173:405,481;
5.865207:405,481;
5.882343:405,481;
5.900023:405,481;
5.916686:405,481;
5.93321:405,481;
5.94978:405,481;
5.966265:405,481;
5.983564:405,481;
5.998981:405,481;
6.016058:282,1007;
6.031829:282,1007;
6.048936:282,1007;
6.066433:282,1007;
6.083055:282,1007;
6.100313:282,1007;
6.116587:282,1007;
6.133585:282,1007;
6.148984:282,1007;
6.165116:282,1007;
6.181863:282,1007;
6.198896:282,1007;
6.21529:282,1007;
