T1 fixation
1.683408:238,836;
1.698012:226,845;
1.716558:222,860;
1.732416:222,860;
1.749661:216,868;
1.765912:215,872;
1.783833:218,881;
1.804855:209,890;
1.816042:199,894;
1.833721:186,907;
1.849911:152,945;
1.866853:133,961;
1.881326:133,961;
1.899683:115,980;
1.916366:90,1002;
1.932178:83,1014;
1.948878:83,1021;
1.967298:54,1062;
1.983663:54,1062;
1.998687:39,1087;
2.016031:38,1093;
2.03491:38,1093;
2.049575:23,1115;
2.066875:22,1117;
2.082366:27,1107;
2.099848:37,1099;
2.121955:48,1101;
2.134938:46,1103;
2.152343:44,1101;
2.167454:56,1089;
2.182328:56,1089;
2.199476:61,1079;
2.214738:72,1064;
2.233941:82,1046;
2.248486:99,1020;
2.2657:102,1014;
2.282283:113,996;
2.301779:128,975;
2.315929:165,924;
2.333339:165,924;
2.34924:184,897;
2.366274:183,897;
2.382524:191,882;
2.400786:222,851;
2.416513:225,855;
2.433176:216,875;
2.449954:216,874;
2.464656:211,881;
2.48395:211,881;
2.49978:199,895;
2.516656:206,895;
2.533513:200,900;
2.548784:202,904;
2.566109:173,930;
2.583375:174,929;
2.5994:154,944;
2.616826:126,972;
2.632394:126,972;
2.649586:92,998;
2.666119:98,991;
2.683065:90,1001;
2.698904:60,1045;
2.715702:55,1056;
2.731286:45,1088;
2.750037:46,1080;
2.765868:38,1094;
2.783437:38,1094;
2.799245:33,1091;
2.816689:41,1080;
2.833248:48,1072;
2.848878:30,1083;
2.866722:25,1088;
2.883688:24,1090;
2.901105:23,1091;
2.920789:27,1089;
2.932041:27,1089;
2.949937:32,1080;
2.965645:33,1063;
2.983516:36,1038;
2.998881:34,1025;
3.016574:25,1016;
3.033458:18,1013;
3.048894:17,1018;
3.066807:14,1015;
3.081939:14,1015;
3.0994:21,1018;
3.115899:50,1002;
3.133:64,979;
3.149291:64,979;
3.165973:109,935;
3.181522:143,918;
3.202512:136,922;
3.218214:136,922;
3.235383:148,914;
3.254265:148,914;
3.267988:180,887;
3.284469:180,889;
3.300451:176,892;
3.317185:186,894;
3.333181:188,896;
3.34989:175,911;
3.367395:147,943;
3.381378:147,943;
3.400649:147,946;
3.416195:148,946;
3.432817:138,956;
3.44872:136,982;
3.467041:129,987;
3.490501:131,989;
3.501097:131,989;
3.517804:84,1027;
3.53346:84,1027;
3.550493:42,1059;
3.56672:47,1063;
3.58425:7,1107;
3.601656:3,1104;
3.621433:3,1104;
3.638394:-12,1126;
3.654536:-12,1126;
3.669992:-10,1121;
3.684281:-26,1165;
3.70061:-31,1166;
3.716808:-36,1167;
3.733061:-68,1205;
3.749893:-71,1205;
3.765107:-44,1174;
3.782737:-26,1146;
3.800307:-17,1133;
3.816599:17,1088;
3.833621:17,1088;
3.849698:37,1063;
3.865533:39,1061;
3.884846:45,1051;
3.900014:44,1060;
3.917671:48,1061;
3.933095:48,1061;
3.949961:62,1049;
3.965797:75,1023;
3.982348:75,1023;
4.00275:86,1017;
4.017294:86,1017;
4.032995:108,1001;
4.049169:109,997;
4.065519:135,913;
4.083209:138,907;
4.097923:147,896;
4.118162:173,866;
4.133316:173,866;
4.150336:174,861;
4.167634:185,846;
4.185266:188,842;
4.205098:180,848;
4.219178:176,861;
4.23603:173,874;
4.250192:155,893;
4.265213:145,914;
4.282388:145,914;
4.297825:134,929;
4.316819:136,927;
4.333323:142,921;
4.349615:144,921;
4.367351:140,926;
4.384748:154,920;
4.402142:154,920;
4.427164:154,922;
4.435089:154,922;
4.454404:132,952;
4.468105:122,965;
4.483972:112,992;
4.501387:106,1002;
4.521725:80,1057;
4.534488:61,1082;
4.550995:54,1085;
4.566122:45,1098;
4.583738:45,1098;
4.600825:35,1116;
4.62115:28,1124;
4.635208:8,1147;
4.651322:10,1145;
4.668255:10,1145;
4.68481:25,1133;
4.700588:22,1126;
4.716017:25,1115;
4.732096:25,1115;
4.75248:30,1106;
4.771287:30,1100;
4.785304:39,1073;
4.805054:46,1072;
4.821169:72,1041;
4.834296:73,1041;
4.849397:69,1039;
4.866846:69,1039;
4.883271:85,1024;
4.90026:83,1018;
4.917874:95,1000;
4.933751:104,945;
4.949957:122,929;
4.966869:122,929;
4.983069:158,893;
4.999882:167,882;
5.018275:181,868;
5.035522:181,868;
5.051071:204,847;
5.06714:204,847;
5.084439:224,822;
5.100317:265,810;
5.114581:265,816;
5.133988:249,825;
5.150455:242,833;
5.165695:191,889;
5.182335:191,889;
5.199772:163,922;
5.21709:175,909;
5.236248:165,934;
5.251476:177,933;
5.268026:162,933;
5.283812:145,937;
5.300779:145,937;
5.315621:117,962;
5.332425:117,962;
5.349837:117,962;
5.366333:113,963;
5.382663:116,967;
5.400489:31,1038;
5.417738:16,1066;
5.432954:-1,1094;
5.44991:-37,1160;
5.467039:-37,1160;
5.484458:-14,1119;
5.50422:-14,1119;
5.519102:-50,1194;
5.539051:-63,1206;
5.554962:-73,1220;
5.568931:-80,1233;
5.584098:-87,1222;
5.599726:-90,1222;
5.618357:-83,1214;
5.633762:-83,1214;
5.649759:-71,1204;
5.666561:-59,1195;
5.682265:-47,1176;
5.699988:-11,1102;
5.71652:-15,1113;
5.739233:-17,1120;
5.750815:-16,1119;
5.768694:-16,1119;
5.785594:-12,1108;
5.801392:-12,1108;
5.81678:-12,1108;
5.83279:25,1075;
5.850094:25,1075;
5.867048:26,1075;
5.883423:61,1033;
5.899906:86,991;
5.916645:86,985;
5.933063:86,985;
5.949364:84,982;
5.966635:102,969;
5.982993:103,961;
6.000243:111,934;
6.015764:133,897;
6.033464:133,895;
6.050075:132,893;
6.06719:125,904;
6.083528:125,904;
6.100839:118,904;
6.117107:120,903;
6.133297:132,913;
6.149143:144,928;
6.165416:148,945;
6.183709:149,941;
6.19947:149,933;
6.218728:149,933;
6.234301:145,947;
6.250311:145,947;
6.267624:94,979;
6.283124:88,977;
6.299793:59,1006;
6.315801:57,1007;
6.333869:52,1017;
6.350246:44,1029;
6.365994:36,1044;
6.383129:36,1044;
6.399101:16,1080;
6.416883:-3,1112;
6.434166:-17,1130;
6.452314:-42,1158;
6.471278:-46,1164;
6.485528:-50,1168;
6.502283:-37,1157;
6.51754:-21,1135;
6.533381:19,1087;
6.549669:38,1063;
6.566407:26,1069;
6.584096:27,1068;
6.600148:22,1064;
6.615587:27,1066;
6.632605:26,1066;
6.653026:22,1063;
6.664883:18,1060;
6.684262:18,1060;
T11 fixation
8.6008:-23,572;
8.615974:-23,594;
8.633101:-23,594;
8.649983:-9,607;
8.666134:-10,616;
8.684355:-10,616;
8.700389:15,600;
8.717122:15,600;
8.735312:31,593;
8.751535:39,584;
8.766109:62,559;
8.781535:62,559;
8.801497:74,549;
8.816256:78,547;
8.833286:83,543;
8.849517:92,534;
8.86781:116,493;
8.883471:119,488;
8.900958:115,486;
8.918108:115,486;
8.934712:114,486;
8.951467:106,490;
8.966925:101,501;
8.98417:101,505;
8.999469:150,461;
9.017467:150,461;
9.032681:143,462;
9.049857:138,462;
9.065612:130,485;
9.08374:130,485;
9.099174:110,510;
9.116191:102,520;
9.133206:113,494;
9.149426:111,496;
9.1673:120,482;
9.182853:99,498;
9.199883:80,516;
9.217278:80,516;
9.232932:82,487;
9.249725:9,556;
9.26666:43,512;
9.284616:47,503;
9.300962:23,521;
9.317636:-9,520;
9.335831:-30,536;
9.350104:-41,548;
9.366549:-75,560;
9.383158:-75,560;
9.399687:-75,560;
9.416514:-97,599;
9.433254:-79,601;
9.45007:-66,586;
9.472759:-39,571;
9.483794:-39,571;
9.499662:-21,535;
9.516352:-21,535;
9.533663:-21,534;
9.549915:11,548;
9.566597:11,548;
9.582383:11,548;
9.59922:26,547;
9.618298:26,547;
9.632794:66,521;
9.650112:71,515;
9.666556:84,509;
9.683716:84,509;
9.7004:84,509;
9.715867:115,447;
9.734454:146,439;
9.74846:149,425;
9.766813:149,425;
9.783334:157,423;
9.799226:146,419;
9.81599:131,422;
9.833652:131,422;
9.853088:115,430;
9.867671:123,425;
9.883162:114,437;
9.901377:116,444;
9.916858:110,453;
9.932943:109,454;
9.948107:110,455;
9.966354:119,456;
9.983029:119,456;
9.999967:119,456;
10.01526:150,471;
10.0332:169,471;
10.04901:169,471;
10.06553:137,468;
10.08323:121,475;
10.09961:67,536;
10.11588:44,536;
10.13506:44,536;
10.15133:44,536;
10.16887:9,544;
10.18807:12,556;
10.20179:15,558;
10.21795:-44,571;
10.23421:-60,595;
10.25015:-79,590;
10.26549:-73,592;
10.28408:-73,592;
10.29981:-58,589;
10.3178:-35,584;
10.33391:-52,573;
10.35158:-52,569;
10.36902:-48,554;
10.38462:-45,562;
10.40098:-56,558;
10.4162:-56,553;
10.43292:-56,553;
10.45:-56,553;
10.46743:-35,535;
10.48325:-35,535;
10.49974:23,545;
10.51724:23,545;
10.53271:31,550;
10.55184:48,526;
10.56536:48,526;
10.58263:48,526;
10.59982:46,538;
10.61627:77,509;
10.63349:77,509;
10.6486:76,507;
10.67048:115,480;
10.68468:115,480;
10.70154:130,468;
10.71757:145,456;
10.73289:145,456;
10.74898:151,445;
10.76659:165,426;
10.78339:176,411;
10.80065:187,408;
10.81669:182,418;
10.83376:182,418;
10.85042:180,422;
10.86953:180,422;
10.8845:176,430;
10.90098:176,430;
10.91673:137,482;
10.93352:151,456;
10.95012:157,443;
10.96651:145,444;
10.98113:139,443;
11.00026:137,448;
11.01551:127,448;
11.03412:127,448;
11.04831:109,465;
11.06625:108,465;
11.08343:103,468;
11.10131:47,515;
11.11812:51,497;
11.1392:12,533;
11.15173:16,535;
11.16839:20,534;
11.18375:-9,563;
11.20141:18,534;
11.21633:14,539;
11.23429:3,551;
11.24975:19,532;
11.26641:9,553;
11.28246:13,550;
11.29866:14,550;
11.31687:25,539;
11.33248:25,539;
11.35139:25,539;
11.36772:26,539;
11.38335:52,512;
11.40004:76,511;
11.41581:90,491;
11.43326:92,489;
11.44968:103,479;
11.46558:108,475;
11.48258:108,475;
11.50011:124,463;
11.51546:126,459;
11.535:125,457;
11.55177:136,448;
11.57135:136,448;
11.58805:140,445;
11.60271:134,444;
11.61749:118,451;
11.63383:128,451;
11.64922:121,458;
11.66684:119,464;
11.68379:122,466;
11.69926:123,481;
11.71745:123,483;
11.73412:117,489;
11.75057:116,490;
11.76654:109,502;
11.78292:109,502;
11.79998:97,501;
11.81643:91,504;
11.8332:91,507;
11.84907:24,576;
11.86677:24,576;
11.88588:23,547;
11.90053:19,560;
11.91639:9,578;
11.93426:9,578;
11.95435:9,578;
11.97678:-23,595;
11.98812:-21,601;
12.00652:-23,612;
12.02174:-59,624;
12.03499:-66,633;
12.05116:-58,626;
12.06682:-66,636;
12.08321:-66,636;
12.10009:-52,627;
12.11666:-44,617;
12.13145:-7,561;
12.15069:-7,558;
12.16554:-7,557;
12.18284:-7,554;
12.20045:-7,554;
12.22435:-11,553;
12.23426:-11,553;
12.25546:-11,553;
12.26672:-8,554;
12.28255:0,550;
12.29859:37,529;
12.31441:37,529;
12.33332:44,531;
12.35083:47,532;
12.36585:47,532;
12.38261:47,532;
12.40105:47,532;
12.41644:116,488;
12.43858:172,447;
12.45628:172,447;
12.47116:195,430;
12.48793:218,411;
12.50498:219,412;
12.51908:219,418;
12.53344:219,418;
12.54996:223,424;
12.56578:229,425;
12.58542:225,422;
12.60101:254,416;
12.61751:263,413;
12.63465:272,412;
12.64999:268,413;
12.66643:259,420;
12.68459:259,420;
12.69991:254,451;
12.71709:248,437;
12.73252:246,436;
12.74916:228,445;
12.76799:229,431;
12.78289:228,430;
12.79917:232,431;
12.82167:255,415;
12.83809:255,415;
12.85416:255,415;
12.87104:248,424;
12.88809:250,410;
12.90163:247,418;
12.91818:234,427;
12.93434:189,459;
12.94913:68,534;
12.96542:-8,599;
12.98317:-8,599;
12.99927:-5,589;
13.01644:-20,607;
13.03658:6,582;
13.04958:23,577;
13.06784:43,561;
13.08402:43,561;
13.10049:50,568;
13.11681:54,567;
13.13302:54,567;
13.15002:69,552;
