T25 fixation
2.066:1861,202;
2.083469:1858,200;
2.100732:1846,196;
2.116748:1850,207;
2.133742:1850,207;
2.150055:1842,208;
2.164598:1843,204;
2.183047:1851,219;
2.199994:1887,284;
2.21686:1886,278;
2.233912:1888,284;
2.254103:1872,215;
2.266846:1877,225;
2.282363:1877,225;
2.299852:1890,249;
2.316974:1900,269;
2.333079:1903,268;
2.35024:1889,221;
2.366657:1893,254;
2.383736:1893,254;
2.399928:1894,267;
2.41545:1894,267;
2.430727:1894,267;
2.449908:1874,191;
2.467122:1874,191;
2.483587:1873,193;
2.499681:1868,196;
2.516982:1873,164;
2.534188:1873,164;
2.550319:1874,167;
2.566739:1858,158;
2.583141:1858,158;
2.600597:1860,165;
2.61692:1868,168;
2.632993:1872,172;
2.649086:1873,170;
2.664492:1871,169;
2.683819:1859,163;
2.700682:1858,164;
2.717701:1833,146;
2.734222:1833,146;
2.75079:1826,143;
2.76662:1827,148;
2.782937:1834,128;
2.79996:1834,129;
2.817026:1833,130;
2.833743:1823,126;
2.850819:1823,126;
2.870704:1819,122;
2.882602:1819,122;
2.899096:1813,118;
2.914331:1812,116;
2.9336:1819,120;
2.949982:1818,118;
2.966753:1817,116;
2.983774:1817,116;
2.999856:1821,117;
3.015987:1821,117;
3.033616:1830,122;
3.050012:1830,122;
3.067242:1834,124;
3.08318:1839,124;
3.09997:1841,123;
3.116814:1853,120;
3.131543:1857,120;
3.149743:1861,121;
3.166972:1861,121;
3.184338:1857,119;
3.199936:1859,116;
3.216506:1860,114;
3.232884:1861,113;
3.249354:1864,114;
3.271001:1881,115;
3.283782:1888,118;
3.300807:1905,122;
3.317886:1904,122;
3.333577:1906,124;
3.350708:1900,123;
3.365569:1893,121;
3.383004:1891,122;
3.399908:1876,120;
3.416448:1876,120;
3.433015:1875,119;
3.450918:1877,130;
3.465848:1879,131;
3.483018:1879,131;
3.500013:1883,129;
3.516901:1878,130;
3.533014:1876,120;
3.549763:1874,118;
3.567807:1861,115;
3.581886:1848,111;
3.599223:1838,105;
3.617785:1838,105;
3.633873:1838,105;
3.650692:1809,91;
3.6665:1809,84;
3.683124:1808,83;
3.700238:1809,82;
3.715349:1814,81;
3.733711:1848,101;
3.750998:1864,101;
3.76649:1864,101;
3.783036:1864,101;
3.800925:1870,101;
3.816989:1869,102;
3.833688:1864,103;
3.849377:1852,107;
3.867014:1839,108;
3.882832:1835,107;
3.899823:1830,104;
3.91672:1815,103;
3.933726:1815,103;
3.949807:1814,103;
3.966468:1812,103;
3.983882:1811,105;
3.999597:1813,109;
4.017894:1814,112;
4.034101:1813,111;
4.049942:1813,113;
4.066996:1813,113;
4.081147:1813,120;
4.099924:1814,119;
4.117989:1807,120;
4.132844:1828,139;
4.149976:1840,134;
4.166514:1845,135;
4.183016:1849,130;
4.200758:1849,130;
4.217079:1852,120;
4.233788:1854,119;
4.250609:1856,119;
4.267822:1852,116;
4.282919:1850,115;
4.299937:1848,115;
4.316904:1844,117;
4.333114:1846,116;
4.349888:1847,120;
4.366543:1850,128;
4.383618:1851,128;
4.400044:1876,157;
4.416905:1870,152;
4.432895:1868,145;
4.449516:1872,158;
4.466588:1865,152;
4.483901:1865,153;
4.500683:1848,139;
4.518:1846,122;
4.533966:1846,122;
4.550797:1838,130;
4.565802:1844,111;
4.581509:1837,110;
4.599339:1834,109;
4.616542:1834,106;
4.632872:1831,111;
4.650208:1831,111;
4.666654:1830,110;
4.683773:1827,107;
4.701001:1826,104;
4.716593:1828,104;
4.732671:1833,105;
4.749748:1804,93;
4.766936:1809,95;
4.783827:1804,94;
4.800851:1800,94;
4.816759:1799,99;
4.833635:1799,99;
4.850694:1792,97;
4.866931:1803,106;
4.883684:1809,112;
4.899848:1809,117;
4.916912:1808,122;
4.93386:1806,122;
4.950658:1806,122;
4.966943:1806,122;
4.984027:1807,125;
5.000554:1814,129;
5.01722:1823,134;
5.033702:1828,146;
5.050314:1824,138;
5.066885:1825,140;
5.083688:1849,150;
5.100636:1845,148;
5.119525:1844,148;
5.133732:1844,148;
5.150666:1852,143;
5.166838:1853,139;
5.183736:1851,137;
5.200033:1851,135;
5.216915:1854,133;
5.233837:1857,131;
5.25089:1861,127;
5.271483:1861,127;
5.283169:1861,127;
5.300681:1859,123;
5.316781:1855,122;
5.332563:1849,122;
5.349813:1846,123;
5.36677:1845,122;
5.382396:1842,122;
5.399484:1843,121;
5.41703:1842,121;
5.43375:1842,121;
5.449917:1842,118;
5.466929:1843,113;
5.483616:1842,109;
5.499672:1841,106;
5.517071:1842,103;
5.533907:1845,104;
5.550606:1846,103;
5.567718:1840,103;
5.583015:1840,103;
5.60075:1839,102;
5.616445:1830,102;
5.632912:1828,101;
5.649897:1827,101;
5.666815:1827,101;
5.68393:1824,100;
5.702073:1835,105;
5.716967:1831,101;
5.733895:1831,101;
5.749975:1832,100;
5.766905:1837,99;
5.783017:1837,98;
5.799656:1834,98;
5.816938:1826,96;
5.833848:1825,97;
5.851013:1827,97;
5.867115:1825,97;
5.883121:1825,97;
5.900686:1823,99;
5.916067:1826,99;
5.932978:1825,103;
5.949842:1829,103;
5.968081:1830,103;
5.982688:1829,102;
5.999573:1826,100;
6.016911:1823,94;
6.034002:1821,92;
6.050735:1820,90;
