T1 fixation
1.416459:135,927;
1.434736:122,932;
1.44989:122,932;
1.466298:104,940;
1.48331:110,939;
1.499829:110,939;
1.516129:99,955;
1.53311:99,955;
1.549424:92,983;
1.56633:92,983;
1.583357:92,983;
1.599745:89,978;
1.617292:89,985;
1.633104:89,985;
1.649639:69,1013;
1.666329:57,1027;
1.682895:57,1032;
1.699233:54,1037;
1.716133:54,1037;
1.734414:56,1036;
1.749798:51,1037;
1.76633:51,1037;
1.783069:47,1040;
1.800322:40,1044;
1.816654:41,1043;
1.83295:60,1037;
1.849459:60,1037;
1.86652:60,1037;
1.88317:72,1032;
1.899833:75,1031;
1.91643:92,1008;
1.933092:113,972;
1.950001:113,972;
1.966733:117,967;
1.983396:130,954;
1.999418:131,950;
2.016328:131,950;
2.034186:131,950;
2.049672:137,941;
2.066195:137,941;
2.083123:137,941;
2.099944:145,941;
2.1176:145,941;
2.133216:154,938;
2.149614:136,937;
2.166376:136,937;
2.183064:130,937;
2.199928:129,937;
2.2163:129,937;
2.233106:128,941;
2.249904:119,954;
2.266165:110,976;
2.282744:106,985;
2.299515:109,997;
2.316345:109,997;
2.334531:108,997;
2.349904:103,1002;
2.366228:87,1019;
2.383091:88,1018;
2.399908:75,1039;
2.41688:97,1017;
2.43312:97,1017;
2.449396:98,1015;
2.466174:98,1015;
2.483182:98,1015;
2.499725:110,996;
2.516284:109,1000;
2.533647:109,1000;
2.549659:123,943;
2.566106:123,941;
2.584387:115,951;
2.599353:114,951;
2.616051:114,951;
2.633054:107,951;
2.649848:107,952;
2.666286:107,952;
2.683153:106,954;
2.699996:105,956;
2.716565:105,956;
2.732808:101,960;
2.74935:101,960;
2.766366:101,960;
2.783174:118,966;
2.799935:118,966;
2.8163:128,972;
2.833085:94,997;
2.850161:94,997;
2.866675:77,1015;
2.882868:65,1034;
2.899433:72,1026;
2.918253:72,1026;
2.933837:72,1026;
2.949916:71,1039;
2.966339:68,1041;
2.983036:68,1041;
2.999696:69,1037;
3.01654:64,1038;
3.032889:63,1040;
3.049625:58,1049;
3.06617:58,1049;
3.083071:53,1053;
3.099895:52,1055;
3.116317:52,1055;
3.133189:42,1065;
3.149771:42,1068;
3.167454:42,1061;
3.182705:41,1060;
3.199382:41,1060;
3.216457:41,1060;
3.233129:46,1046;
3.250299:46,1046;
3.266332:48,1040;
3.283307:51,1036;
3.299844:51,1036;
3.316598:48,1054;
3.332725:48,1054;
3.349427:47,1057;
3.366266:47,1057;
3.383136:47,1057;
3.39967:42,1063;
3.416365:43,1068;
3.433799:43,1068;
3.449793:50,1063;
3.466704:51,1062;
3.483009:48,1053;
3.499337:49,1056;
3.516355:49,1056;
3.533334:46,1052;
3.549809:45,1049;
3.56628:45,1049;
3.583107:49,1051;
3.599809:48,1053;
3.616536:48,1053;
3.632974:43,1058;
3.64943:43,1058;
3.666412:43,1058;
3.68414:33,1059;
3.699926:33,1059;
3.716344:32,1060;
3.733093:32,1061;
3.749853:32,1061;
3.76614:27,1067;
3.782838:27,1067;
3.799541:27,1068;
3.816387:27,1068;
3.833315:27,1068;
3.84968:30,1066;
3.86655:28,1062;
3.883095:28,1062;
3.900453:27,1067;
3.916197:27,1067;
3.93324:27,1067;
3.94932:26,1065;
3.966126:26,1065;
3.98307:25,1060;
4.000157:25,1060;
4.016304:25,1060;
4.033154:30,1056;
4.04998:27,1057;
4.066415:27,1057;
4.082762:32,1071;
4.09942:32,1071;
4.116442:32,1071;
4.133172:27,1069;
4.149757:27,1069;
4.166326:36,1063;
4.183084:44,1056;
4.199994:44,1056;
4.216726:36,1058;
4.232851:31,1058;
4.249406:34,1057;
4.266304:34,1057;
4.283209:34,1057;
4.299783:16,1064;
4.316403:18,1061;
4.333133:18,1061;
4.349633:22,1054;
4.366763:23,1053;
4.383277:27,1050;
4.399396:31,1049;
4.416166:31,1049;
4.434494:34,1056;
4.450014:34,1055;
4.466513:34,1055;
4.483136:34,1049;
4.500209:40,1051;
4.516449:40,1052;
4.532756:35,1055;
4.549445:35,1055;
4.566346:35,1055;
4.583268:35,1056;
4.599844:35,1056;
4.616261:42,1046;
4.633083:40,1046;
4.649766:40,1046;
4.666218:39,1058;
4.682844:39,1058;
4.699547:39,1056;
4.716135:39,1056;
4.733141:39,1056;
4.749685:40,1055;
4.766471:40,1055;
4.783116:40,1055;
4.79988:37,1057;
4.81645:37,1057;
4.832895:30,1061;
4.849387:32,1058;
4.866412:32,1058;
4.883904:33,1057;
4.899938:38,1055;
4.916305:38,1055;
4.933581:38,1059;
4.949953:37,1056;
4.966421:37,1056;
4.982702:33,1067;
4.99953:33,1067;
5.016497:33,1067;
5.033957:42,1074;
5.050185:42,1074;
5.066262:49,1067;
5.083136:48,1058;
5.099853:48,1058;
5.116509:47,1057;
5.131732:47,1057;
5.149523:45,1060;
5.166056:45,1060;
5.183068:45,1060;
5.199785:50,1064;
5.216617:64,1071;
5.233072:64,1071;
5.249688:62,1074;
5.26617:60,1073;
5.283615:50,1052;
5.300327:51,1052;
5.316351:51,1052;
5.333215:47,1052;
5.349737:48,1058;
5.366299:48,1058;
5.38306:47,1061;
5.399797:47,1059;
5.416468:47,1059;
5.432772:46,1052;
5.449423:46,1052;
5.466254:46,1052;
5.482865:46,1049;
5.499768:46,1049;
5.516365:41,1058;
5.532966:43,1049;
5.549928:43,1049;
5.566424:40,1044;
5.582755:48,1037;
5.59972:48,1037;
5.616522:50,1036;
5.633143:50,1036;
5.649632:49,1041;
5.66625:42,1043;
5.683311:42,1043;
5.699691:40,1048;
5.716489:37,1051;
5.733148:35,1051;
5.749245:36,1048;
5.766122:36,1048;
5.783071:37,1047;
5.799841:38,1048;
5.816319:38,1048;
5.833073:40,1056;
5.849996:39,1055;
5.866879:39,1055;
5.882837:35,1053;
5.899364:35,1053;
5.916301:35,1053;
5.933561:43,1031;
5.949772:43,1031;
5.966551:43,1031;
5.983452:42,1030;
5.999947:42,1030;
6.01781:27,1017;
6.032879:27,1017;
