T1 fixation
0.9654494:73,1007;
0.9811675:79,1000;
0.9980738:79,1000;
1.014966:84,992;
1.031642:90,987;
1.047979:108,984;
1.064764:123,979;
1.081937:124,972;
1.097815:123,973;
1.115342:121,976;
1.131419:118,975;
1.148102:118,975;
1.164463:111,981;
1.181404:111,983;
1.198122:112,983;
1.214493:111,983;
1.231678:113,983;
1.248635:110,984;
1.264477:123,973;
1.281598:124,972;
1.298225:124,972;
1.315403:77,996;
1.331619:79,994;
1.347732:89,983;
1.365057:104,966;
1.381657:108,958;
1.398021:112,960;
1.414176:106,977;
1.431211:106,968;
1.447512:106,968;
1.464806:104,971;
1.482259:100,972;
1.497984:101,970;
1.514813:101,972;
1.531902:98,972;
1.550533:98,967;
1.564438:98,968;
1.581223:99,972;
1.598078:99,972;
1.614853:112,973;
1.632009:113,975;
1.647961:111,978;
1.664279:97,997;
1.682249:78,1011;
1.697761:76,1012;
1.715204:77,1005;
1.731319:76,1006;
1.747521:76,1006;
1.765274:71,1008;
1.782013:71,1005;
1.798417:69,1004;
1.815177:70,1000;
1.83184:70,997;
1.848063:72,995;
1.864336:84,985;
1.881636:85,984;
1.897914:85,984;
1.914633:91,981;
1.931651:90,981;
1.947911:101,974;
1.964515:103,972;
1.981728:112,972;
1.998571:106,974;
2.013995:109,965;
2.03185:112,962;
2.048957:112,962;
2.064897:109,962;
2.081729:111,958;
2.097998:111,961;
2.114969:109,962;
2.131814:108,967;
2.148518:107,968;
2.16544:105,974;
2.181113:105,977;
2.198665:105,977;
2.215011:107,984;
2.231662:106,983;
2.248253:105,983;
2.265031:105,985;
2.281772:106,984;
2.297331:128,968;
2.315418:128,968;
2.331855:187,781;
2.348865:187,781;
2.365044:187,781;
2.381817:187,781;
2.398914:187,781;
2.415248:187,781;
2.431739:187,781;
2.448801:308,358;
2.464926:308,358;
2.482086:273,766;
2.498134:273,766;
2.514631:157,862;
2.53123:103,915;
2.548622:69,953;
2.564855:61,965;
2.582189:39,997;
2.597865:47,993;
2.614037:40,1003;
2.631185:35,1012;
2.647752:35,1012;
2.664627:72,990;
2.681161:52,1008;
2.698092:47,1014;
2.715006:68,999;
2.731519:58,1016;
2.74733:79,1010;
2.765225:79,1010;
2.781554:76,1010;
2.798155:76,1010;
2.815067:101,988;
2.831583:89,1005;
2.848192:79,1021;
2.864478:99,1004;
2.881029:80,1024;
2.897685:81,1022;
2.914028:80,1021;
2.931948:56,1028;
2.948241:56,1028;
2.965344:56,1019;
2.98117:59,1013;
2.998105:39,1006;
3.014586:40,1004;
3.032001:58,996;
3.048438:101,1008;
3.064998:100,1022;
3.081628:92,1017;
3.099004:92,1017;
3.114726:89,1029;
3.131763:84,1033;
3.148749:77,1028;
3.165261:62,1016;
3.181638:48,1006;
3.198363:52,1009;
3.214181:48,1016;
3.231355:42,1024;
3.247624:42,1024;
3.264661:44,1044;
3.281241:42,1065;
3.297709:58,1056;
3.316093:66,1060;
3.332003:71,1060;
3.348468:57,1069;
3.364351:54,1081;
3.381925:71,1065;
3.398888:71,1065;
3.415054:74,1049;
3.432127:66,1042;
3.448722:11,1079;
3.465141:34,1061;
3.482146:35,1065;
3.498336:14,1082;
3.515569:34,1059;
3.531467:15,1089;
3.548328:15,1089;
3.56553:22,1076;
3.581382:44,1043;
3.598119:67,1018;
3.615254:58,1027;
3.631982:61,1023;
3.648801:63,1008;
3.664059:63,1008;
3.681114:63,1008;
3.698067:63,1008;
3.71545:63,1008;
3.731365:63,1008;
3.748476:63,1008;
3.765225:63,1008;
3.781662:63,1008;
3.797384:168,492;
3.814012:190,642;
3.831154:115,908;
3.84847:115,908;
3.86503:106,829;
3.88128:48,972;
3.898728:67,920;
3.914376:61,929;
3.931497:72,902;
3.947914:48,1025;
3.964207:33,1044;
3.981487:21,1049;
3.997901:21,1049;
4.014338:5,1066;
4.031178:5,1066;
4.048516:-22,1092;
4.064637:-11,1089;
4.081754:-15,1089;
4.098:-9,1084;
4.114094:-2,1079;
4.131481:3,1080;
4.14768:3,1080;
4.165358:13,1075;
4.181304:14,1051;
4.198032:16,1051;
4.214892:16,1049;
4.231724:27,1048;
4.247356:35,1046;
4.264007:37,1040;
4.281665:37,1050;
4.297813:37,1050;
4.315463:46,1024;
4.332021:54,1027;
4.348003:58,1012;
4.364677:50,1001;
4.382154:61,994;
4.398533:58,991;
4.414252:84,983;
4.432099:93,975;
4.45007:93,975;
4.464436:102,970;
4.481908:105,980;
4.498153:98,988;
4.515183:87,999;
4.5314:47,1055;
4.547477:55,1024;
4.564762:38,1033;
4.581826:45,1034;
4.597762:45,1034;
4.613494:49,1008;
4.632007:64,984;
4.648562:69,978;
4.66514:68,976;
4.681706:88,990;
4.698542:83,988;
4.714124:89,992;
4.731199:88,993;
4.747546:88,993;
4.765254:81,994;
4.781804:77,981;
4.798545:77,981;
4.815204:78,984;
4.83216:76,984;
4.848694:75,973;
4.863979:77,972;
4.881521:77,971;
4.898108:77,971;
4.915358:79,969;
4.931283:78,970;
4.947979:79,970;
4.965086:81,974;
4.981345:82,981;
4.997448:83,1001;
5.014108:88,995;
5.031651:93,996;
5.048017:93,996;
5.064701:104,983;
5.081349:111,979;
5.098639:113,979;
5.11453:115,980;
5.131774:114,981;
5.14735:112,983;
5.164025:113,982;
5.18139:110,983;
5.198021:110,983;
5.215384:106,986;
5.231573:103,988;
5.248168:103,989;
5.264707:102,990;
5.281558:96,995;
5.298642:97,993;
5.314029:95,991;
5.331816:94,989;
5.347594:94,989;
5.364583:95,980;
5.382183:96,977;
5.398685:96,977;
5.415218:94,964;
5.431866:93,980;
5.447515:95,1010;
5.464105:93,1008;
5.481253:94,1010;
5.497983:94,1010;
5.514963:93,1022;
5.531808:97,1014;
5.547944:68,1045;
5.564806:45,1030;
5.581276:48,1029;
5.598449:66,1015;
5.614434:69,1013;
5.631274:66,1021;
5.648054:66,1021;
5.664824:77,1010;
5.681595:80,1009;
5.698258:85,1008;
5.714906:95,1005;
5.732121:101,1003;
5.747668:101,1000;
5.764118:103,999;
5.781942:105,996;
5.797859:105,996;
5.815019:100,997;
5.831721:80,1033;
5.848352:85,1022;
5.865384:86,1012;
5.882149:83,996;
5.898726:85,993;
5.915318:63,1015;
5.932114:61,1014;
5.94802:61,1014;
5.965411:56,1016;
5.981637:56,1019;
T11 fixation
8.032759:58,629;
8.047687:58,629;
8.06488:54,627;
8.081729:57,630;
8.098063:55,632;
8.114476:52,635;
8.131875:50,639;
8.148614:53,638;
8.165775:59,636;
8.181633:87,610;
8.197702:87,610;
8.215027:97,599;
8.231185:87,606;
8.248414:77,602;
8.26515:58,606;
8.281483:59,605;
8.297925:62,598;
8.314239:69,587;
8.331171:69,586;
8.348442:69,586;
8.364878:69,588;
8.38187:66,607;
8.398331:69,609;
8.414936:70,619;
8.431778:78,635;
8.448112:77,623;
8.464417:77,623;
8.481736:77,623;
8.497477:80,614;
8.514499:61,631;
8.531576:60,632;
8.548411:67,623;
8.564773:53,636;
8.582387:54,628;
8.597432:56,626;
8.614635:65,629;
8.631451:64,632;
8.647717:64,632;
8.665271:56,620;
8.682012:56,618;
8.698409:55,613;
8.715214:50,608;
8.731613:49,609;
8.747453:67,570;
8.764522:67,570;
8.781624:67,570;
8.797703:67,570;
8.815265:67,570;
8.831455:67,570;
8.847904:67,570;
8.864689:67,570;
8.881399:67,570;
8.897349:67,570;
8.914107:115,133;
8.931158:189,266;
8.948342:189,266;
8.96508:191,276;
8.981159:124,313;
8.998798:115,344;
9.015408:101,376;
9.031672:87,437;
9.047773:62,523;
9.064009:61,583;
9.081779:52,553;
9.097997:52,553;
9.114462:50,569;
9.131953:53,583;
9.148539:62,600;
9.164998:56,589;
9.181547:61,580;
9.198781:60,588;
9.214205:52,589;
9.231233:53,602;
9.248474:53,602;
9.26426:45,598;
9.28154:41,609;
9.298496:49,603;
9.314386:36,593;
9.331661:44,605;
9.347469:42,600;
9.364289:53,607;
9.381633:57,608;
9.397794:57,608;
9.414767:73,619;
9.431901:76,618;
9.448418:68,618;
9.46493:68,618;
9.48175:58,617;
9.498767:59,622;
9.514629:60,623;
9.531103:52,619;
9.548434:52,619;
9.564914:36,620;
9.581479:34,619;
9.598156:34,621;
9.614217:27,617;
9.631111:30,613;
9.647552:54,625;
9.665051:47,616;
9.681595:61,607;
9.698285:61,607;
9.714657:60,608;
9.731393:47,617;
9.748595:46,619;
9.764457:45,621;
9.781814:48,624;
9.798179:54,607;
9.814385:54,598;
9.831813:54,594;
9.847695:54,594;
9.865592:56,606;
9.882159:56,613;
9.898265:61,613;
9.915091:62,608;
9.931899:62,609;
9.948229:57,593;
9.96501:58,597;
9.981495:55,591;
9.997478:55,591;
10.01544:52,593;
10.03115:50,607;
10.04846:55,615;
10.06561:57,616;
10.08212:44,607;
10.0987:44,610;
10.11404:43,611;
10.13105:41,612;
10.14816:41,612;
10.16513:54,615;
10.18196:56,615;
10.19789:54,616;
10.21502:57,617;
10.23159:59,620;
10.24854:62,621;
10.2649:72,617;
10.2814:70,636;
10.29929:70,636;
10.31463:68,629;
10.33121:56,621;
10.34808:53,615;
10.36535:75,625;
10.38161:58,618;
10.39798:63,634;
10.41402:53,629;
10.43141:51,629;
10.44764:51,629;
10.46459:52,610;
10.48195:53,607;
10.49785:58,617;
10.51482:58,616;
10.53209:31,605;
10.54856:49,615;
10.5651:47,609;
10.58113:52,632;
10.59781:52,632;
10.6153:51,632;
10.63187:58,628;
10.64844:53,622;
10.66496:19,620;
10.68152:37,630;
10.69742:32,623;
10.71422:33,624;
10.73136:30,620;
10.74797:30,620;
10.76438:47,623;
10.78199:45,620;
10.7977:45,620;
10.81511:55,628;
10.83177:57,633;
10.84787:53,647;
10.8641:48,644;
10.88242:45,639;
