T25 fixation
1.469129:1963,123;
1.484631:1958,119;
1.501503:1931,103;
1.517934:1929,107;
1.534757:1922,113;
1.551484:1924,116;
1.568302:1940,118;
1.585385:1947,121;
1.600443:1947,121;
1.618414:1947,121;
1.634708:1938,147;
1.651364:1925,149;
1.668255:1925,149;
1.685252:1907,149;
1.701516:1907,149;
1.718228:2039,157;
1.734779:2039,157;
1.751478:1969,157;
1.768577:1969,157;
1.784651:1969,157;
1.80209:1946,159;
1.818284:1946,159;
1.835125:1976,154;
1.8506:2055,101;
1.867605:2055,101;
1.885382:2013,142;
1.901553:1989,165;
1.918433:1989,165;
1.935579:1948,111;
1.952443:1948,111;
1.968668:1909,126;
1.984688:1908,126;
2.001573:1908,126;
2.018372:1905,50;
2.035541:1907,42;
2.051553:1907,42;
2.072105:1861,-11;
2.086495:1861,-11;
2.101448:1863,-2;
2.117317:1861,8;
2.134153:1861,8;
2.151422:1873,106;
2.168223:1871,106;
2.186547:1871,106;
2.201695:1870,105;
2.218589:1811,-7;
2.239062:1783,-52;
2.251992:1813,-5;
2.267896:1819,-24;
2.285215:1834,-12;
2.301457:1798,-24;
2.318412:1793,-28;
2.335551:1800,-13;
2.352317:1812,-3;
2.369304:1850,17;
2.385034:1877,27;
2.39933:1883,38;
2.418214:1882,52;
2.43531:1856,49;
2.451421:1846,54;
2.468427:1837,55;
2.48543:1845,56;
2.50151:1845,56;
2.518414:1845,56;
2.53447:1822,59;
2.552283:1826,76;
2.568184:1827,75;
2.585212:1827,75;
2.601446:1837,57;
2.617913:1851,16;
2.635468:1851,16;
2.651044:1845,16;
2.667645:1845,16;
2.686612:1797,45;
2.70133:1805,39;
2.718802:1843,40;
2.734518:1848,49;
2.751314:1865,54;
2.767926:1895,117;
2.784538:1909,115;
2.801476:1914,117;
2.819643:1914,117;
2.835562:1929,132;
2.85209:1929,132;
2.868342:1945,83;
2.884459:1934,72;
2.901382:1934,72;
2.916994:1890,20;
2.934767:1888,24;
2.95242:1888,24;
2.968578:1866,20;
2.98552:1866,20;
3.002373:1864,63;
3.01796:1852,58;
3.033904:1852,58;
3.051634:1881,112;
3.067567:1882,110;
3.085492:1882,110;
3.101335:1882,109;
3.118545:1882,109;
3.136709:1874,108;
3.15135:1877,114;
3.167434:1877,114;
3.184731:1890,84;
3.201311:1878,90;
3.218131:1878,90;
3.235598:1872,93;
3.25166:1882,84;
3.272118:1991,91;
3.285724:2010,91;
3.300939:2010,91;
3.317718:2004,174;
3.335159:2014,122;
3.351469:2014,122;
3.368:1969,145;
3.385166:1990,126;
3.401614:1990,126;
3.419533:1901,83;
3.432639:1901,83;
3.451534:1892,82;
3.468481:1876,84;
3.485299:1876,84;
3.501001:1856,100;
3.518299:1849,104;
3.535524:1849,104;
3.550082:1823,103;
3.567618:1823,103;
3.585571:1775,92;
3.601793:1757,84;
3.618094:1757,81;
3.634289:1759,72;
3.651703:1763,61;
3.668027:1764,58;
3.685382:1762,58;
3.701097:1757,60;
3.717764:1757,60;
3.735584:1755,58;
3.751544:1762,62;
3.768374:1790,66;
3.784517:1802,68;
3.802266:1805,70;
3.817039:1810,72;
3.835401:1813,74;
3.852327:1812,72;
3.869237:1831,85;
3.886279:1831,85;
3.901455:1829,103;
3.918446:1831,77;
3.934428:1837,79;
3.951492:1838,72;
3.967145:1854,64;
3.985355:1854,64;
4.001495:1860,62;
4.018496:1860,62;
4.034568:1860,62;
4.05223:1866,86;
4.068244:1841,132;
4.084267:1823,135;
4.10124:1804,131;
4.118246:1798,119;
