T12 fixation
0.6166508:485,559;
0.6335057:489,562;
0.6500117:491,561;
0.6665787:482,552;
0.6833696:481,545;
0.700034:485,544;
0.7179495:491,537;
0.7356558:493,536;
0.7527429:496,531;
0.7693115:496,531;
0.7850032:500,528;
0.8018489:500,528;
0.8167523:500,528;
0.8346536:500,528;
0.8524348:500,528;
0.8685429:500,528;
0.8848798:500,528;
0.9007553:500,528;
0.9166631:500,528;
0.9337741:570,450;
0.9518495:570,450;
0.9675764:526,483;
0.9844729:538,477;
1.001488:560,483;
1.017542:560,487;
1.0352:558,490;
1.052124:557,492;
1.067631:551,499;
1.083213:537,510;
1.100055:537,510;
1.117129:522,543;
1.133399:474,593;
1.15022:468,586;
1.166892:478,580;
1.18316:478,580;
1.200203:467,595;
1.216308:467,595;
1.232953:467,595;
1.251526:467,595;
1.266758:467,595;
1.285019:467,595;
1.301474:467,595;
1.318175:467,595;
1.332961:467,595;
1.35108:467,595;
1.36882:467,595;
1.38576:467,595;
1.402513:497,576;
1.418613:493,565;
1.43551:491,572;
1.452581:493,574;
1.467839:495,570;
1.484705:502,561;
1.500667:507,552;
1.517241:507,552;
1.535622:507,552;
1.552681:507,552;
1.568529:507,552;
1.585669:507,552;
1.602601:507,552;
1.619435:537,547;
1.635703:585,491;
1.65248:562,490;
1.668469:562,490;
1.685474:553,500;
1.702582:525,538;
1.718024:533,538;
1.734486:538,542;
1.750843:535,544;
1.766978:526,556;
1.783324:524,555;
1.800147:494,555;
1.816581:494,555;
1.833903:482,576;
1.851841:482,576;
1.868035:482,576;
1.885597:482,576;
1.901557:482,576;
1.917279:526,584;
1.933544:526,584;
1.950007:526,584;
1.966483:526,584;
1.983059:526,584;
2.001591:526,584;
2.018386:526,584;
2.03636:526,584;
2.052444:526,584;
2.069348:526,584;
2.085629:526,584;
2.102471:526,584;
2.1186:526,584;
2.136464:495,400;
2.152349:552,416;
2.167768:582,406;
2.183222:582,406;
2.202216:598,399;
2.218705:598,399;
2.23474:598,399;
2.252581:598,399;
2.26962:598,399;
2.286377:598,399;
2.30261:598,399;
2.318555:598,399;
2.335541:598,399;
2.351619:688,509;
2.368534:584,456;
2.383386:584,456;
2.401419:577,463;
2.416157:576,483;
2.433172:525,528;
2.450383:527,528;
2.46666:504,560;
2.483309:465,597;
2.500497:465,597;
2.516361:455,605;
2.534615:455,605;
2.552376:455,605;
2.569315:455,605;
2.585542:455,605;
